Domain,Average Sentiment,Top Keywords (Frequency),Total Responses
Healthcare,0.67,"{'patient care': 69, 'wait times': 81, 'insurance': 99}",42
Telecommunications,0.96,"{'network': 43, 'ISP': 74, '5G': 98}",145
Automobile,0.12,"{'insurance': 36, 'repairs': 37, 'features': 51}",189
Technology,0.29,"{'cybersecurity': 82, 'design': 82, 'performance': 88}",195
Hospitality,0.24,"{'budget': 46, 'restaurants': 30, 'reservations': 94}",62
Automobile,0.08,"{'insurance': 32, 'safety': 93, 'maintenance': 76}",76
Telecommunications,0.97,"{'network': 70, '5G': 47, 'ISP': 30}",142
Pharmaceuticals,0.55,"{'biotechnology': 36, 'drug development': 86, 'side effects': 52}",50
Agriculture,0.86,"{'pesticides': 72, 'harvest': 98, 'soil quality': 45}",90
Retail,0.56,"{'pricing': 47, 'loyalty programs': 65, 'offers': 36}",111
Telecommunications,0.63,"{'network': 88, '5G': 74, 'customer support': 21}",196
Agriculture,0.17,"{'fertilizers': 27, 'sustainability': 41, 'weather': 55}",122
Real Estate,0.54,"{'rent': 70, 'location': 85, 'availability': 51}",103
Telecommunications,0.62,"{'signal': 84, 'customer support': 20, 'infrastructure': 32}",200
Agriculture,0.5,"{'sustainability': 23, 'weather': 47, 'fertilizers': 66}",183
Aerospace,0.76,"{'safety': 43, 'aviation': 82, 'missions': 72}",129
Gaming,0.99,"{'updates': 29, 'PC': 48, 'gameplay': 85}",30
Security,0.16,"{'biometrics': 88, 'firewalls': 36, 'passwords': 29}",37
Hospitality,0.92,"{'travel': 98, 'customer experience': 28, 'service': 32}",143
Healthcare,0.78,"{'hospital': 58, 'treatment': 66, 'access': 32}",78
Pharmaceuticals,0.97,"{'vaccines': 25, 'prescriptions': 30, 'healthcare': 88}",63
Security,0.61,"{'firewalls': 31, 'cyberattacks': 79, 'malware': 25}",175
Aerospace,0.08,"{'missions': 67, 'aviation': 22, 'NASA': 20}",150
Energy,0.3,"{'wind': 52, 'nuclear': 98, 'gas': 52}",55
Gaming,0.92,"{'console': 93, 'esports': 24, 'PC': 91}",37
Healthcare,0.77,"{'treatment': 78, 'medications': 68, 'telehealth': 34}",61
Finance,0.23,"{'insurance': 49, 'credit': 98, 'banking': 36}",44
Entertainment,0.18,"{'streaming': 64, 'content quality': 30, 'subscriptions': 69}",129
Healthcare,0.26,"{'wait times': 31, 'diagnosis': 39, 'challenges': 94}",45
Entertainment,0.55,"{'streaming': 83, 'reviews': 59, 'movies': 76}",135
Fashion,0.87,"{'trends': 52, 'designers': 24, 'brands': 37}",37
Automobile,0.35,"{'features': 42, 'fuel efficiency': 90, 'safety': 98}",188
Automobile,0.19,"{'repairs': 29, 'features': 29, 'performance': 97}",76
Technology,0.59,"{'bug': 26, 'AI': 71, 'cybersecurity': 57}",121
Retail,0.67,"{'stock': 97, 'availability': 45, 'returns': 98}",149
Pharmaceuticals,0.95,"{'research': 94, 'prescriptions': 93, 'clinical trials': 80}",187
Security,0.05,"{'hacking': 94, 'firewalls': 88, 'biometrics': 36}",146
Entertainment,0.13,"{'music': 87, 'box office': 80, 'content quality': 99}",106
Finance,0.06,"{'budgeting': 27, 'investment': 80, 'taxes': 95}",195
Finance,0.24,"{'loan': 92, 'savings': 80, 'banking': 45}",110
Government,0.67,"{'legislation': 51, 'public services': 66, 'taxation': 20}",147
Pharmaceuticals,0.57,"{'vaccines': 83, 'healthcare': 42, 'biotechnology': 81}",117
Fashion,0.88,"{'runway': 88, 'retail': 38, 'luxury': 100}",133
Healthcare,0.62,"{'challenges': 44, 'treatment': 68, 'diagnosis': 94}",47
Telecommunications,0.35,"{'network': 41, 'data plans': 29, '5G': 58}",159
Retail,0.93,"{'promotions': 28, 'discount': 40, 'pricing': 75}",151
Security,0.47,"{'authentication': 84, 'biometrics': 58, 'surveillance': 52}",140
Government,0.26,"{'taxation': 45, 'elections': 34, 'policy': 83}",34
Entertainment,0.67,"{'subscriptions': 53, 'reviews': 58, 'video games': 69}",58
Technology,0.27,"{'performance': 54, 'AI': 88, 'design': 46}",56
Gaming,0.26,"{'storyline': 93, 'console': 85, 'PC': 62}",59
E-commerce,0.96,"{'refund': 20, 'pricing': 55, 'inventory': 30}",138
Real Estate,0.91,"{'rent': 97, 'availability': 37, 'amenities': 59}",104
Automobile,0.34,"{'performance': 79, 'mileage': 57, 'fuel efficiency': 57}",178
Telecommunications,0.0,"{'5G': 79, 'coverage': 86, 'roaming': 28}",84
Aerospace,0.92,"{'NASA': 90, 'missions': 56, 'satellites': 43}",107
Finance,0.88,"{'debt': 72, 'budgeting': 63, 'insurance': 55}",120
Finance,0.13,"{'debt': 42, 'loan': 45, 'credit': 55}",112
Real Estate,0.08,"{'rent': 27, 'pricing': 85, 'mortgage': 66}",66
Government,0.23,"{'taxation': 55, 'legislation': 77, 'budget': 95}",193
Food & Beverage,0.04,"{'recipes': 26, 'health': 99, 'delivery': 56}",30
Education,0.43,"{'teachers': 96, 'interface': 85, 'students': 66}",196
Government,0.13,"{'regulations': 40, 'elections': 26, 'legislation': 51}",46
Technology,0.44,"{'cybersecurity': 31, 'hardware': 33, 'design': 93}",155
Entertainment,0.55,"{'reviews': 36, 'video games': 77, 'subscriptions': 47}",138
Aerospace,0.9,"{'aviation': 84, 'defense': 92, 'rockets': 97}",114
Finance,0.29,"{'loan': 30, 'investment': 71, 'credit': 30}",176
Security,0.73,"{'malware': 96, 'biometrics': 100, 'authentication': 28}",194
Education,0.82,"{'features': 77, 'learning': 24, 'assessment': 65}",183
Automobile,0.4,"{'insurance': 65, 'fuel efficiency': 94, 'features': 89}",56
Gaming,0.15,"{'mobile': 27, 'VR': 99, 'console': 38}",148
Fashion,0.73,"{'accessories': 36, 'trends': 25, 'seasons': 90}",105
E-commerce,0.97,"{'inventory': 49, 'pricing': 36, 'discounts': 85}",33
Healthcare,0.12,"{'diagnosis': 35, 'challenges': 66, 'telehealth': 53}",150
E-commerce,0.48,"{'customer support': 57, 'refund': 50, 'checkout': 94}",88
Telecommunications,0.45,"{'ISP': 79, 'data plans': 27, '5G': 32}",155
Pharmaceuticals,0.88,"{'medications': 40, 'prescriptions': 53, 'research': 92}",136
Security,0.54,"{'hacking': 64, 'cyberattacks': 41, 'firewalls': 57}",50
Aerospace,0.43,"{'fuel efficiency': 78, 'aviation': 47, 'rockets': 22}",48
Entertainment,0.99,"{'music': 93, 'movies': 63, 'concerts': 38}",179
Food & Beverage,0.59,"{'cuisine': 91, 'restaurants': 28, 'delivery': 96}",191
Aerospace,0.27,"{'rockets': 78, 'space travel': 29, 'satellites': 41}",119
Technology,0.71,"{'AI': 68, 'design': 46, 'speed': 33}",50
Education,0.74,"{'students': 97, 'curriculum': 30, 'features': 41}",31
Finance,0.57,"{'credit': 22, 'insurance': 45, 'debt': 60}",99
Government,0.32,"{'taxation': 73, 'regulations': 21, 'laws': 85}",124
Healthcare,0.28,"{'challenges': 48, 'insurance': 21, 'hospital': 72}",174
Food & Beverage,0.04,"{'organic': 33, 'restaurants': 79, 'delivery': 88}",123
Telecommunications,0.55,"{'network': 44, 'data plans': 100, 'signal': 63}",74
Real Estate,0.87,"{'availability': 53, 'rent': 25, 'location': 45}",95
Security,0.43,"{'biometrics': 73, 'passwords': 52, 'hacking': 29}",157
Technology,0.69,"{'AI': 51, 'design': 96, 'software': 71}",45
Fashion,0.17,"{'fabric': 83, 'trends': 25, 'designers': 81}",35
Fashion,0.6,"{'seasons': 42, 'fabric': 86, 'brands': 79}",101
Food & Beverage,0.16,"{'health': 28, 'organic': 91, 'delivery': 49}",182
Real Estate,0.96,"{'construction': 93, 'property tax': 34, 'housing market': 56}",142
Education,0.79,"{'usability': 98, 'teachers': 88, 'learning': 21}",140
Government,0.11,"{'policy': 91, 'public services': 75, 'budget': 37}",62
Pharmaceuticals,0.14,"{'prescriptions': 71, 'clinical trials': 35, 'healthcare': 22}",43
Gaming,0.89,"{'VR': 61, 'mobile': 76, 'updates': 37}",184
Technology,0.41,"{'software': 33, 'cybersecurity': 34, 'hardware': 45}",154
Fashion,0.46,"{'streetwear': 60, 'luxury': 82, 'seasons': 57}",127
Retail,0.83,"{'loyalty programs': 25, 'customer service': 53, 'pricing': 71}",142
Retail,0.71,"{'sales': 55, 'customer service': 29, 'loyalty programs': 40}",83
Real Estate,0.04,"{'mortgage': 94, 'housing market': 98, 'investment': 76}",106
E-commerce,0.4,"{'refund': 28, 'pricing': 34, 'service': 22}",33
Telecommunications,0.54,"{'coverage': 37, 'network': 76, 'signal': 28}",114
Agriculture,0.16,"{'pesticides': 34, 'soil quality': 89, 'irrigation': 72}",70
Aerospace,0.29,"{'space travel': 55, 'aviation': 42, 'satellites': 78}",122
Finance,0.0,"{'budgeting': 90, 'credit': 25, 'taxes': 95}",126
Pharmaceuticals,0.24,"{'prescriptions': 73, 'drug development': 38, 'medications': 43}",150
Telecommunications,0.98,"{'ISP': 46, 'coverage': 66, 'infrastructure': 74}",76
Aerospace,0.49,"{'rockets': 64, 'satellites': 35, 'missions': 25}",187
Finance,0.95,"{'loan': 64, 'credit': 91, 'taxes': 86}",169
Telecommunications,0.13,"{'coverage': 81, 'network': 100, 'customer support': 100}",53
Food & Beverage,0.44,"{'organic': 21, 'health': 82, 'cuisine': 29}",43
Pharmaceuticals,0.28,"{'clinical trials': 76, 'biotechnology': 35, 'side effects': 93}",153
Agriculture,0.73,"{'livestock': 60, 'weather': 73, 'farming': 99}",38
Energy,0.5,"{'solar': 72, 'renewable': 83, 'gas': 83}",52
Security,0.03,"{'passwords': 21, 'authentication': 83, 'encryption': 33}",168
Government,0.63,"{'public services': 50, 'elections': 54, 'legislation': 30}",82
Technology,0.64,"{'AI': 62, 'bug': 52, 'cybersecurity': 79}",72
Food & Beverage,0.37,"{'fast food': 73, 'delivery': 82, 'ingredients': 20}",91
Healthcare,0.42,"{'medications': 35, 'insurance': 30, 'challenges': 51}",66
E-commerce,0.62,"{'checkout': 96, 'tracking': 29, 'service': 95}",83
Government,0.09,"{'laws': 65, 'taxation': 37, 'regulations': 44}",177
Security,0.33,"{'biometrics': 96, 'hacking': 75, 'passwords': 56}",183
Pharmaceuticals,0.87,"{'medications': 48, 'side effects': 59, 'drug development': 32}",65
Food & Beverage,0.71,"{'gourmet': 29, 'sustainability': 37, 'delivery': 67}",102
Government,0.72,"{'regulations': 54, 'healthcare reform': 61, 'budget': 54}",86
Telecommunications,0.64,"{'signal': 74, 'infrastructure': 55, 'ISP': 74}",197
Telecommunications,0.75,"{'data plans': 61, 'customer support': 41, 'coverage': 22}",175
Retail,0.54,"{'returns': 24, 'pricing': 38, 'sales': 70}",173
Education,0.76,"{'usability': 31, 'assessment': 20, 'learning': 60}",131
E-commerce,0.96,"{'service': 43, 'customer support': 99, 'delivery': 90}",94
Real Estate,0.23,"{'pricing': 63, 'amenities': 47, 'availability': 29}",49
Automobile,0.51,"{'performance': 88, 'design': 66, 'insurance': 36}",96
Technology,0.17,"{'software': 98, 'design': 69, 'cybersecurity': 100}",30
Real Estate,0.44,"{'construction': 100, 'mortgage': 25, 'pricing': 24}",155
Technology,0.95,"{'update': 60, 'cybersecurity': 63, 'performance': 32}",177
Finance,0.61,"{'interest': 75, 'insurance': 20, 'credit': 69}",66
Education,0.88,"{'learning': 40, 'interface': 59, 'platform': 73}",44
Pharmaceuticals,0.79,"{'biotechnology': 83, 'medications': 95, 'drug development': 43}",197
Hospitality,0.81,"{'service': 85, 'hotels': 28, 'restaurants': 68}",78
Healthcare,0.09,"{'challenges': 100, 'treatment': 33, 'access': 27}",51
Hospitality,0.04,"{'hotels': 77, 'customer experience': 82, 'luxury': 48}",82
Security,0.36,"{'passwords': 62, 'authentication': 50, 'data breaches': 25}",105
Agriculture,0.34,"{'sustainability': 78, 'farming': 29, 'weather': 35}",35
Real Estate,0.13,"{'property tax': 56, 'investment': 37, 'mortgage': 29}",91
Energy,0.97,"{'sustainability': 35, 'nuclear': 40, 'renewable': 29}",103
Security,0.66,"{'hacking': 59, 'encryption': 72, 'authentication': 33}",165
Energy,0.55,"{'wind': 38, 'gas': 35, 'nuclear': 62}",96
Pharmaceuticals,0.63,"{'clinical trials': 65, 'FDA': 35, 'prescriptions': 82}",60
Retail,0.03,"{'customer service': 49, 'promotions': 80, 'pricing': 92}",134
Real Estate,0.4,"{'availability': 68, 'mortgage': 85, 'rent': 44}",98
Government,0.96,"{'elections': 88, 'taxation': 39, 'security': 42}",93
Entertainment,0.36,"{'movies': 78, 'subscriptions': 68, 'box office': 94}",106
Security,0.81,"{'authentication': 73, 'surveillance': 53, 'hacking': 74}",38
Agriculture,0.19,"{'irrigation': 59, 'fertilizers': 63, 'weather': 42}",53
Education,0.41,"{'features': 69, 'interface': 57, 'usability': 28}",45
Education,0.97,"{'learning': 81, 'teachers': 55, 'exams': 32}",152
Entertainment,0.2,"{'subscriptions': 76, 'awards': 76, 'video games': 23}",58
Real Estate,0.6,"{'housing market': 25, 'construction': 44, 'investment': 45}",125
E-commerce,0.93,"{'discounts': 47, 'delivery': 64, 'tracking': 35}",117
Aerospace,0.97,"{'space travel': 37, 'satellites': 70, 'safety': 99}",93
Healthcare,0.33,"{'patient care': 32, 'telehealth': 28, 'insurance': 37}",51
Finance,0.29,"{'interest': 49, 'insurance': 35, 'loan': 31}",73
Entertainment,0.38,"{'concerts': 73, 'content quality': 83, 'streaming': 20}",55
Government,0.21,"{'taxation': 78, 'elections': 64, 'healthcare reform': 50}",171
Pharmaceuticals,0.66,"{'FDA': 53, 'clinical trials': 33, 'biotechnology': 99}",37
Fashion,0.25,"{'designers': 71, 'retail': 49, 'fabric': 79}",63
Finance,0.8,"{'credit': 81, 'debt': 69, 'savings': 68}",140
Healthcare,0.81,"{'telehealth': 65, 'access': 84, 'wait times': 78}",88
Fashion,0.29,"{'retail': 68, 'luxury': 39, 'runway': 92}",31
Automobile,0.18,"{'fuel efficiency': 80, 'safety': 72, 'design': 72}",167
Healthcare,0.82,"{'patient care': 42, 'treatment': 45, 'wait times': 60}",105
Security,0.49,"{'firewalls': 36, 'data breaches': 95, 'biometrics': 93}",100
Hospitality,0.42,"{'budget': 54, 'reservations': 93, 'restaurants': 31}",105
Telecommunications,0.83,"{'5G': 28, 'customer support': 68, 'ISP': 63}",191
Food & Beverage,0.2,"{'ingredients': 31, 'organic': 39, 'fast food': 42}",60
Entertainment,0.83,"{'concerts': 60, 'awards': 77, 'reviews': 66}",32
Food & Beverage,0.7,"{'gourmet': 31, 'sustainability': 99, 'delivery': 53}",85
Automobile,0.65,"{'mileage': 45, 'safety': 87, 'design': 60}",85
Hospitality,0.13,"{'reviews': 36, 'hotels': 60, 'reservations': 29}",78
Automobile,0.18,"{'design': 33, 'safety': 32, 'features': 58}",150
Healthcare,0.82,"{'challenges': 55, 'wait times': 81, 'patient care': 95}",37
Fashion,0.14,"{'runway': 79, 'seasons': 25, 'streetwear': 80}",94
Food & Beverage,0.97,"{'ingredients': 53, 'delivery': 47, 'sustainability': 96}",103
Pharmaceuticals,0.39,"{'FDA': 61, 'medications': 46, 'prescriptions': 79}",133
Technology,0.93,"{'cybersecurity': 79, 'performance': 21, 'cloud': 37}",178
Automobile,0.35,"{'mileage': 86, 'maintenance': 40, 'fuel efficiency': 90}",193
Entertainment,0.67,"{'awards': 25, 'video games': 61, 'movies': 73}",107
Education,0.63,"{'assessment': 38, 'interface': 53, 'learning': 62}",76
Hospitality,0.98,"{'budget': 30, 'tourism': 71, 'reservations': 93}",187
Education,0.94,"{'exams': 56, 'teachers': 58, 'interface': 72}",158
Agriculture,0.28,"{'fertilizers': 78, 'soil quality': 45, 'weather': 28}",68
Hospitality,0.82,"{'hotels': 65, 'service': 76, 'budget': 93}",181
Entertainment,0.67,"{'concerts': 92, 'reviews': 90, 'music': 38}",85
Hospitality,0.24,"{'reviews': 87, 'hotels': 31, 'reservations': 31}",58
Education,0.52,"{'features': 26, 'students': 30, 'assessment': 69}",93
Food & Beverage,0.8,"{'recipes': 41, 'health': 69, 'cuisine': 81}",79
Technology,0.39,"{'software': 97, 'design': 47, 'hardware': 20}",65
Real Estate,0.55,"{'amenities': 93, 'rent': 34, 'investment': 46}",155
Gaming,0.71,"{'graphics': 23, 'gameplay': 92, 'storyline': 36}",171
Retail,0.8,"{'availability': 97, 'offers': 52, 'stock': 48}",137
Telecommunications,0.16,"{'network': 24, 'customer support': 77, '5G': 29}",113
Pharmaceuticals,0.76,"{'biotechnology': 26, 'research': 21, 'vaccines': 50}",138
Telecommunications,0.17,"{'5G': 51, 'billing': 66, 'data plans': 84}",149
Technology,0.1,"{'software': 97, 'speed': 64, 'cybersecurity': 92}",199
Education,0.96,"{'learning': 83, 'students': 45, 'curriculum': 21}",171
Technology,0.94,"{'bug': 79, 'cybersecurity': 43, 'speed': 48}",66
Finance,0.43,"{'insurance': 94, 'taxes': 86, 'interest': 65}",130
E-commerce,0.51,"{'refund': 83, 'checkout': 39, 'wishlist': 97}",89
Security,0.42,"{'hacking': 42, 'malware': 99, 'passwords': 91}",130
Aerospace,0.88,"{'engineering': 82, 'aviation': 63, 'defense': 25}",37
E-commerce,0.17,"{'discounts': 22, 'pricing': 30, 'inventory': 28}",82
E-commerce,0.21,"{'discounts': 33, 'inventory': 58, 'pricing': 24}",109
Healthcare,0.3,"{'challenges': 37, 'treatment': 28, 'access': 69}",91
Energy,0.13,"{'power grid': 43, 'oil': 52, 'sustainability': 84}",139
Energy,0.64,"{'sustainability': 69, 'renewable': 58, 'power grid': 45}",144
Entertainment,0.77,"{'box office': 82, 'streaming': 42, 'content quality': 20}",86
Security,0.92,"{'encryption': 28, 'cyberattacks': 70, 'malware': 73}",194
Retail,0.81,"{'promotions': 62, 'availability': 51, 'discount': 40}",30
Hospitality,0.58,"{'budget': 31, 'tourism': 72, 'customer experience': 41}",132
Retail,0.85,"{'returns': 69, 'availability': 75, 'stock': 35}",125
Real Estate,0.82,"{'investment': 23, 'pricing': 91, 'mortgage': 28}",93
Automobile,0.84,"{'safety': 30, 'repairs': 84, 'features': 98}",195
Hospitality,0.67,"{'luxury': 28, 'hotels': 20, 'tourism': 48}",180
Education,0.32,"{'usability': 91, 'platform': 89, 'students': 91}",46
Education,0.22,"{'exams': 75, 'features': 36, 'students': 86}",119
Fashion,0.43,"{'trends': 62, 'accessories': 47, 'streetwear': 56}",81
Government,0.42,"{'security': 50, 'budget': 57, 'laws': 59}",58
Food & Beverage,0.66,"{'gourmet': 96, 'ingredients': 55, 'restaurants': 74}",170
Agriculture,0.93,"{'irrigation': 92, 'crops': 69, 'harvest': 82}",61
Automobile,0.34,"{'fuel efficiency': 70, 'insurance': 62, 'warranty': 62}",104
E-commerce,0.87,"{'wishlist': 48, 'discounts': 96, 'inventory': 80}",137
Agriculture,0.83,"{'soil quality': 55, 'pesticides': 93, 'irrigation': 100}",102
Technology,0.48,"{'software': 61, 'update': 97, 'cybersecurity': 86}",72
Government,0.34,"{'budget': 30, 'healthcare reform': 65, 'laws': 22}",171
Retail,0.39,"{'customer service': 49, 'pricing': 27, 'promotions': 92}",118
Education,0.36,"{'platform': 67, 'assessment': 75, 'interface': 21}",172
Healthcare,0.64,"{'treatment': 94, 'hospital': 34, 'telehealth': 46}",139
Retail,0.23,"{'sales': 38, 'availability': 29, 'stock': 27}",167
Pharmaceuticals,0.55,"{'prescriptions': 81, 'drug development': 31, 'side effects': 63}",200
Government,0.49,"{'legislation': 36, 'policy': 71, 'security': 29}",139
Healthcare,0.98,"{'patient care': 87, 'medications': 98, 'treatment': 51}",37
E-commerce,0.8,"{'checkout': 37, 'pricing': 89, 'refund': 52}",71
Education,0.71,"{'students': 25, 'usability': 22, 'teachers': 82}",142
Finance,0.42,"{'taxes': 80, 'credit': 53, 'insurance': 59}",100
Security,0.3,"{'encryption': 22, 'authentication': 100, 'biometrics': 59}",105
Government,0.94,"{'security': 68, 'laws': 90, 'public services': 41}",115
Food & Beverage,0.91,"{'ingredients': 21, 'fast food': 34, 'health': 20}",86
Pharmaceuticals,0.81,"{'research': 88, 'medications': 37, 'FDA': 42}",197
Retail,0.99,"{'discount': 91, 'availability': 46, 'returns': 77}",138
Government,0.3,"{'regulations': 45, 'healthcare reform': 56, 'security': 79}",196
Technology,0.25,"{'cybersecurity': 56, 'software': 30, 'cloud': 32}",192
Food & Beverage,0.03,"{'organic': 72, 'gourmet': 85, 'restaurants': 67}",32
Food & Beverage,0.32,"{'delivery': 88, 'sustainability': 48, 'restaurants': 30}",31
Pharmaceuticals,0.08,"{'side effects': 66, 'healthcare': 94, 'vaccines': 95}",151
Gaming,0.39,"{'multiplayer': 23, 'console': 60, 'esports': 58}",92
Automobile,0.32,"{'insurance': 88, 'performance': 100, 'features': 36}",31
Security,0.78,"{'encryption': 92, 'firewalls': 72, 'malware': 74}",108
E-commerce,0.36,"{'refund': 76, 'delivery': 46, 'pricing': 31}",169
Entertainment,0.81,"{'subscriptions': 64, 'streaming': 45, 'music': 45}",190
Pharmaceuticals,0.64,"{'healthcare': 20, 'clinical trials': 86, 'side effects': 51}",174
Energy,0.6,"{'carbon footprint': 39, 'solar': 28, 'electricity': 43}",131
Government,0.36,"{'public services': 39, 'elections': 28, 'policy': 38}",137
Security,0.6,"{'malware': 34, 'firewalls': 34, 'encryption': 21}",138
Real Estate,0.38,"{'pricing': 79, 'availability': 41, 'construction': 54}",163
E-commerce,0.45,"{'customer support': 93, 'inventory': 65, 'checkout': 38}",81
Finance,0.1,"{'insurance': 30, 'debt': 41, 'budgeting': 43}",94
Energy,0.5,"{'sustainability': 33, 'solar': 43, 'nuclear': 32}",43
Retail,0.83,"{'loyalty programs': 96, 'availability': 30, 'offers': 98}",187
Automobile,0.29,"{'maintenance': 46, 'mileage': 52, 'warranty': 56}",85
Government,0.82,"{'policy': 72, 'laws': 70, 'taxation': 50}",56
Food & Beverage,0.84,"{'recipes': 76, 'sustainability': 55, 'restaurants': 33}",143
Technology,0.1,"{'cloud': 72, 'AI': 67, 'hardware': 38}",176
Education,0.0,"{'learning': 83, 'teachers': 87, 'platform': 58}",68
E-commerce,0.67,"{'refund': 93, 'service': 69, 'inventory': 57}",134
Security,0.33,"{'cyberattacks': 68, 'data breaches': 51, 'hacking': 68}",167
Technology,0.07,"{'performance': 95, 'software': 85, 'update': 71}",198
Agriculture,0.47,"{'weather': 73, 'fertilizers': 82, 'sustainability': 95}",109
Entertainment,0.88,"{'video games': 30, 'awards': 23, 'movies': 82}",174
Energy,0.08,"{'oil': 75, 'carbon footprint': 60, 'electricity': 20}",43
Food & Beverage,0.74,"{'health': 93, 'organic': 49, 'cuisine': 51}",154
E-commerce,0.94,"{'refund': 75, 'tracking': 49, 'customer support': 76}",144
Technology,0.83,"{'cybersecurity': 21, 'AI': 20, 'design': 98}",130
Telecommunications,0.06,"{'billing': 64, 'coverage': 91, 'data plans': 100}",91
Pharmaceuticals,0.89,"{'clinical trials': 87, 'healthcare': 46, 'research': 32}",128
Automobile,0.31,"{'mileage': 92, 'fuel efficiency': 43, 'maintenance': 96}",97
Security,0.68,"{'data breaches': 99, 'passwords': 66, 'authentication': 23}",114
E-commerce,0.11,"{'tracking': 48, 'discounts': 30, 'checkout': 57}",152
Government,0.55,"{'budget': 50, 'regulations': 25, 'healthcare reform': 63}",91
Telecommunications,0.4,"{'roaming': 78, 'coverage': 72, 'billing': 71}",72
Pharmaceuticals,0.86,"{'research': 72, 'drug development': 83, 'clinical trials': 56}",58
Telecommunications,0.05,"{'5G': 65, 'signal': 64, 'ISP': 95}",113
Technology,0.04,"{'speed': 57, 'design': 85, 'bug': 93}",158
Fashion,0.77,"{'retail': 77, 'designers': 98, 'accessories': 29}",107
Agriculture,0.41,"{'crops': 96, 'livestock': 33, 'soil quality': 65}",105
Energy,0.86,"{'electricity': 29, 'gas': 70, 'carbon footprint': 82}",48
Fashion,0.52,"{'seasons': 78, 'brands': 34, 'retail': 91}",155
Healthcare,0.7,"{'access': 29, 'medications': 55, 'treatment': 36}",142
Finance,0.57,"{'savings': 36, 'interest': 54, 'loan': 79}",30
Hospitality,0.4,"{'reviews': 43, 'service': 56, 'hotels': 64}",140
Agriculture,0.06,"{'crops': 21, 'fertilizers': 25, 'sustainability': 27}",61
Fashion,0.5,"{'designers': 78, 'retail': 35, 'accessories': 76}",106
Energy,0.31,"{'renewable': 63, 'oil': 54, 'sustainability': 100}",116
Government,0.06,"{'taxation': 86, 'laws': 86, 'elections': 48}",191
Gaming,0.92,"{'multiplayer': 93, 'storyline': 55, 'esports': 33}",113
Government,0.48,"{'healthcare reform': 100, 'budget': 90, 'laws': 78}",59
Healthcare,0.21,"{'treatment': 81, 'challenges': 100, 'patient care': 47}",101
Aerospace,0.9,"{'aviation': 60, 'missions': 28, 'safety': 77}",101
Finance,0.16,"{'investment': 100, 'budgeting': 35, 'insurance': 84}",195
Gaming,0.6,"{'graphics': 93, 'mobile': 52, 'console': 58}",154
Retail,0.84,"{'customer service': 82, 'stock': 78, 'returns': 85}",78
Food & Beverage,0.1,"{'gourmet': 28, 'health': 75, 'organic': 29}",148
Finance,0.93,"{'interest': 33, 'budgeting': 76, 'investment': 30}",97
Security,0.48,"{'surveillance': 22, 'hacking': 56, 'biometrics': 51}",73
Telecommunications,0.52,"{'data plans': 48, 'roaming': 24, 'signal': 32}",87
Agriculture,0.16,"{'irrigation': 24, 'farming': 25, 'harvest': 31}",74
Energy,0.31,"{'wind': 21, 'renewable': 62, 'power grid': 97}",43
E-commerce,0.71,"{'service': 82, 'inventory': 45, 'refund': 22}",154
Entertainment,0.9,"{'movies': 48, 'concerts': 38, 'music': 84}",78
Real Estate,0.23,"{'mortgage': 44, 'construction': 41, 'investment': 54}",136
Security,0.94,"{'passwords': 69, 'surveillance': 88, 'data breaches': 55}",162
Security,0.41,"{'malware': 90, 'hacking': 60, 'authentication': 72}",61
Automobile,0.49,"{'maintenance': 59, 'performance': 23, 'mileage': 55}",186
Security,0.77,"{'malware': 42, 'encryption': 89, 'hacking': 90}",143
Gaming,0.95,"{'updates': 68, 'VR': 46, 'esports': 40}",170
Technology,0.7,"{'speed': 23, 'cloud': 68, 'software': 73}",114
Security,0.8,"{'biometrics': 47, 'firewalls': 95, 'data breaches': 25}",195
E-commerce,0.46,"{'customer support': 46, 'checkout': 72, 'refund': 21}",82
Real Estate,0.92,"{'rent': 52, 'pricing': 30, 'property tax': 21}",43
Gaming,0.94,"{'gameplay': 89, 'mobile': 45, 'graphics': 68}",51
Security,0.64,"{'encryption': 73, 'firewalls': 49, 'surveillance': 84}",170
Pharmaceuticals,0.19,"{'side effects': 61, 'research': 29, 'medications': 100}",105
Food & Beverage,0.52,"{'recipes': 27, 'health': 87, 'fast food': 74}",164
Real Estate,0.48,"{'amenities': 96, 'housing market': 78, 'pricing': 95}",190
Pharmaceuticals,0.99,"{'research': 52, 'drug development': 57, 'prescriptions': 68}",30
Telecommunications,0.03,"{'ISP': 67, 'signal': 31, 'coverage': 38}",199
Pharmaceuticals,0.04,"{'prescriptions': 72, 'research': 33, 'clinical trials': 30}",151
Technology,0.29,"{'design': 22, 'speed': 37, 'cloud': 32}",195
Aerospace,0.82,"{'missions': 87, 'fuel efficiency': 90, 'satellites': 92}",196
Energy,0.33,"{'renewable': 28, 'carbon footprint': 88, 'gas': 48}",112
Finance,0.34,"{'budgeting': 99, 'insurance': 99, 'investment': 94}",74
Finance,0.19,"{'investment': 77, 'banking': 52, 'taxes': 47}",154
Agriculture,0.49,"{'sustainability': 89, 'weather': 77, 'farming': 36}",198
E-commerce,0.13,"{'checkout': 46, 'customer support': 30, 'refund': 22}",84
Technology,0.78,"{'software': 54, 'speed': 93, 'cloud': 98}",75
Agriculture,0.42,"{'irrigation': 25, 'crops': 20, 'weather': 65}",174
